semana,concordancia,n,prop,perc,label
2017-05-07,Concordo totalmente da recomendação preliminar,129,0.34864864864864864,34.86486486486486,35%
2017-05-07,Discordo parcialmente da recomendação preliminar,19,0.051351351351351354,5.135135135135135,
2017-05-07,Discordo totalmente da recomendação preliminar,205,0.5540540540540541,55.4054054054054,55%
2017-05-14,Concordo parcialmente da recomendação preliminar,14,0.030837004405286344,3.0837004405286343,
2017-05-14,Concordo totalmente da recomendação preliminar,336,0.7400881057268722,74.00881057268722,74%
2017-05-14,Discordo parcialmente da recomendação preliminar,8,0.01762114537444934,1.762114537444934,
2017-05-14,Discordo totalmente da recomendação preliminar,88,0.19383259911894274,19.383259911894275,19%
2017-05-14,Não identificado,8,0.01762114537444934,1.762114537444934,
2017-05-21,Concordo totalmente da recomendação preliminar,11,0.7857142857142857,78.57142857142857,79%
2017-05-21,Não identificado,3,0.21428571428571427,21.428571428571427,21%
2017-05-28,Concordo parcialmente da recomendação preliminar,4,0.125,12.5,12%
2017-05-28,Concordo totalmente da recomendação preliminar,15,0.46875,46.875,47%
2017-05-28,Não identificado,13,0.40625,40.625,41%
2017-06-04,Concordo parcialmente da recomendação preliminar,3,0.42857142857142855,42.857142857142854,43%
2017-06-04,Concordo totalmente da recomendação preliminar,4,0.5714285714285714,57.14285714285714,57%
2017-06-11,Concordo totalmente da recomendação preliminar,2,1,100,100%
2017-06-25,Não identificado,6,1,100,100%
2017-07-02,Não identificado,29,1,100,100%
2017-07-16,Não identificado,1,1,100,100%
2017-07-30,Concordo parcialmente da recomendação preliminar,2,0.005681818181818182,0.5681818181818182,
2017-07-30,Concordo totalmente da recomendação preliminar,336,0.9545454545454546,95.45454545454545,95%
2017-07-30,Não identificado,14,0.03977272727272727,3.977272727272727,
2017-08-06,Concordo parcialmente da recomendação preliminar,32,0.10491803278688525,10.491803278688524,10%
2017-08-06,Concordo totalmente da recomendação preliminar,268,0.8786885245901639,87.8688524590164,88%
2017-08-06,Discordo parcialmente da recomendação preliminar,2,0.006557377049180328,0.6557377049180327,
2017-08-06,Discordo totalmente da recomendação preliminar,2,0.006557377049180328,0.6557377049180327,
2017-08-06,Não identificado,1,0.003278688524590164,0.32786885245901637,
2017-08-13,Concordo parcialmente da recomendação preliminar,33,0.07728337236533958,7.728337236533958,
2017-08-13,Concordo totalmente da recomendação preliminar,389,0.9110070257611241,91.10070257611241,91%
2017-08-13,Discordo totalmente da recomendação preliminar,3,0.00702576112412178,0.702576112412178,
2017-08-13,Não identificado,2,0.00468384074941452,0.468384074941452,
2017-08-20,Concordo parcialmente da recomendação preliminar,57,0.0811965811965812,8.11965811965812,
2017-08-20,Concordo totalmente da recomendação preliminar,546,0.7777777777777778,77.77777777777779,78%
2017-08-20,Discordo parcialmente da recomendação preliminar,1,0.0014245014245014246,0.14245014245014245,
2017-08-20,Discordo totalmente da recomendação preliminar,2,0.002849002849002849,0.2849002849002849,
2017-08-20,Não identificado,96,0.13675213675213677,13.675213675213676,14%
2017-08-27,Concordo parcialmente da recomendação preliminar,1,0.006756756756756757,0.6756756756756757,
2017-08-27,Concordo totalmente da recomendação preliminar,31,0.20945945945945946,20.945945945945947,21%
2017-08-27,Não identificado,116,0.7837837837837838,78.37837837837837,78%
2017-09-03,Concordo totalmente da recomendação preliminar,20,0.22988505747126436,22.988505747126435,23%
2017-09-03,Não identificado,67,0.7701149425287356,77.01149425287356,77%
2017-09-10,Concordo totalmente da recomendação preliminar,15,0.4411764705882353,44.11764705882353,44%
2017-09-10,Discordo parcialmente da recomendação preliminar,4,0.11764705882352941,11.76470588235294,12%
2017-09-10,Discordo totalmente da recomendação preliminar,13,0.38235294117647056,38.23529411764706,38%
2017-09-10,Não identificado,2,0.058823529411764705,5.88235294117647,
2017-09-17,Concordo parcialmente da recomendação preliminar,1,0.011111111111111112,1.1111111111111112,
2017-09-17,Concordo totalmente da recomendação preliminar,16,0.17777777777777778,17.77777777777778,18%
2017-09-17,Discordo parcialmente da recomendação preliminar,4,0.044444444444444446,4.444444444444445,
2017-09-17,Discordo totalmente da recomendação preliminar,69,0.7666666666666667,76.66666666666667,77%
2017-09-24,Concordo parcialmente da recomendação preliminar,8,0.013136288998357963,1.3136288998357963,
2017-09-24,Concordo totalmente da recomendação preliminar,89,0.14614121510673234,14.614121510673234,15%
2017-09-24,Discordo parcialmente da recomendação preliminar,14,0.022988505747126436,2.2988505747126435,
2017-09-24,Discordo totalmente da recomendação preliminar,259,0.42528735632183906,42.5287356321839,43%
2017-09-24,Não identificado,239,0.3924466338259442,39.24466338259442,39%
2017-10-01,Concordo parcialmente da recomendação preliminar,2,0.00516795865633075,0.516795865633075,
2017-10-01,Concordo totalmente da recomendação preliminar,132,0.34108527131782945,34.10852713178294,34%
2017-10-01,Discordo parcialmente da recomendação preliminar,8,0.020671834625323,2.0671834625323,
2017-10-01,Discordo totalmente da recomendação preliminar,207,0.5348837209302325,53.48837209302325,53%
2017-10-01,Não identificado,38,0.09819121447028424,9.819121447028424,
2017-10-08,Concordo parcialmente da recomendação preliminar,2,0.004914004914004914,0.4914004914004914,
2017-10-08,Concordo totalmente da recomendação preliminar,44,0.10810810810810811,10.81081081081081,11%
2017-10-08,Discordo parcialmente da recomendação preliminar,11,0.02702702702702703,2.7027027027027026,
2017-10-08,Discordo totalmente da recomendação preliminar,113,0.27764127764127766,27.764127764127768,28%
2017-10-08,Não identificado,237,0.5823095823095823,58.23095823095823,58%
2017-10-15,Concordo totalmente da recomendação preliminar,3,0.01276595744680851,1.276595744680851,
2017-10-15,Discordo parcialmente da recomendação preliminar,3,0.01276595744680851,1.276595744680851,
2017-10-15,Discordo totalmente da recomendação preliminar,53,0.225531914893617,22.5531914893617,23%
2017-10-15,Não identificado,176,0.7489361702127659,74.8936170212766,75%
2017-10-22,Concordo parcialmente da recomendação preliminar,6,0.10344827586206896,10.344827586206897,10%
2017-10-22,Concordo totalmente da recomendação preliminar,31,0.5344827586206896,53.44827586206896,53%
2017-10-22,Discordo parcialmente da recomendação preliminar,1,0.017241379310344827,1.7241379310344827,
2017-10-22,Discordo totalmente da recomendação preliminar,6,0.10344827586206896,10.344827586206897,10%
2017-10-22,Não identificado,14,0.2413793103448276,24.137931034482758,24%
2017-10-29,Concordo parcialmente da recomendação preliminar,3,0.05357142857142857,5.357142857142857,
2017-10-29,Concordo totalmente da recomendação preliminar,12,0.21428571428571427,21.428571428571427,21%
2017-10-29,Discordo parcialmente da recomendação preliminar,5,0.08928571428571429,8.928571428571429,
2017-10-29,Discordo totalmente da recomendação preliminar,18,0.32142857142857145,32.142857142857146,32%
2017-10-29,Não identificado,18,0.32142857142857145,32.142857142857146,32%
2017-11-05,Concordo parcialmente da recomendação preliminar,1,0.006944444444444444,0.6944444444444444,
2017-11-05,Concordo totalmente da recomendação preliminar,84,0.5833333333333334,58.333333333333336,58%
2017-11-05,Discordo parcialmente da recomendação preliminar,3,0.020833333333333332,2.083333333333333,
2017-11-05,Discordo totalmente da recomendação preliminar,18,0.125,12.5,12%
2017-11-05,Não identificado,38,0.2638888888888889,26.38888888888889,26%
2017-11-12,Concordo totalmente da recomendação preliminar,10,0.11764705882352941,11.76470588235294,12%
2017-11-12,Discordo parcialmente da recomendação preliminar,5,0.058823529411764705,5.88235294117647,
2017-11-12,Discordo totalmente da recomendação preliminar,11,0.12941176470588237,12.941176470588237,13%
2017-11-12,Não identificado,59,0.6941176470588235,69.41176470588235,69%
2017-11-19,Não identificado,3,1,100,100%
2017-11-26,Concordo totalmente da recomendação preliminar,7,0.25,25,25%
2017-11-26,Não identificado,21,0.75,75,75%
2017-12-03,Concordo parcialmente da recomendação preliminar,2,0.013513513513513514,1.3513513513513513,
2017-12-03,Concordo totalmente da recomendação preliminar,24,0.16216216216216217,16.216216216216218,16%
2017-12-03,Discordo totalmente da recomendação preliminar,2,0.013513513513513514,1.3513513513513513,
2017-12-03,Não identificado,120,0.8108108108108109,81.08108108108108,81%
2017-12-10,Concordo parcialmente da recomendação preliminar,17,0.04314720812182741,4.314720812182741,
2017-12-10,Concordo totalmente da recomendação preliminar,106,0.26903553299492383,26.903553299492383,27%
2017-12-10,Discordo parcialmente da recomendação preliminar,9,0.02284263959390863,2.284263959390863,
2017-12-10,Discordo totalmente da recomendação preliminar,23,0.0583756345177665,5.83756345177665,
2017-12-10,Não identificado,239,0.6065989847715736,60.659898477157356,61%
2017-12-17,Concordo parcialmente da recomendação preliminar,12,0.037037037037037035,3.7037037037037033,
2017-12-17,Concordo totalmente da recomendação preliminar,60,0.18518518518518517,18.51851851851852,19%
2017-12-17,Discordo parcialmente da recomendação preliminar,1,0.0030864197530864196,0.30864197530864196,
2017-12-17,Discordo totalmente da recomendação preliminar,1,0.0030864197530864196,0.30864197530864196,
2017-12-17,Não identificado,250,0.7716049382716049,77.1604938271605,77%
2017-12-24,Não identificado,62,1,100,100%
2017-12-31,Não identificado,5,1,100,100%
2018-01-07,Concordo totalmente da recomendação preliminar,1,0.08333333333333333,8.333333333333332,
2018-01-07,Não identificado,11,0.9166666666666666,91.66666666666666,92%
2018-01-14,Concordo totalmente da recomendação preliminar,1,0.02564102564102564,2.564102564102564,
2018-01-14,Não identificado,38,0.9743589743589743,97.43589743589743,97%
